Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of 聽mental health issues?,Do you know local or online resources to seek help for a mental health disorder?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
0,26-100,1,,Yes,No,No,No,No,Somewhat easy,Maybe,No,No,Maybe,Yes,No,,,,,,,,,1,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Maybe,Depends on what it is. ,No,I don't want to get passed over. ,"Yes, I think it would","Yes, I think they would",Neutral,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,44,Female,United States of America,Illinois,United States of America,Illinois
0,More than 1000,0,1,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe,No,Maybe,I don't know,No,,,,,,,,,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,Afraid of adding something negative to the balance sheet,No,Afraid to add something negative to the balance sheet,Maybe,Maybe,Somewhat open,No,,I don't know,Yes,Maybe,Yes,1,Rarely,Sometimes,45,Male,United States of America,Georgia,United States of America,Georgia
0,06岿 25老,1,,Yes,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,No,No,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,"I would bring up a physical health issue only if negotiating from a position of strength, such as having multiple offers or being currently employed in a stable position.",No,There is zero upside to bringing it up. There is no foreseeable circumstance in which bringing it up forestalls a problem or leads to opportunity.,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",No,I don't know,Yes,Maybe,Yes,1,Rarely,Often,45,M,United States of America,Oregon,United States of America,Oregon
0,500-1000,1,,No,I am not sure,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,Yes,No,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,It's not a big deal,No,It carries a stigma,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Never,Sometimes,30,male,United States of America,Utah,United States of America,Utah
0,More than 1000,0,1,Yes,No,No,Yes,Yes,I don't know,Maybe,No,Maybe,Yes,I don't know,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,It is not their concern unless it affects my ability to perform my job,No,I would be afraid it would jeopardize my chances,"Yes, I think it would",Maybe,Neutral,"Yes, I observed",Yes,I don't know,Yes,Yes,Yes,1,Rarely,Rarely,34,Male,United States of America,Tennessee,United States of America,Tennessee
0,More than 1000,1,,I don't know,No,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,Would only bring it up if it affected my ability to do the job.,No,Would only bring it up if it affected my ability to do the job.,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,37,Male,United States of America,Connecticut,United States of America,Connecticut
0,More than 1000,0,1,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,No,No,Maybe,I don't know,No,,,,,,,,,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,"Unless it would impact my work, it's nobody's business.  ",Maybe,"Again, unless it somehow directly impacts my work it's nobody's business","Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,38,Male,United States of America,Tennessee,United States of America,Tennessee
0,26-100,1,,Yes,No,No,I don't know,I don't know,I don't know,No,No,No,Maybe,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,None did,None of them,Maybe,Too personal,No,I think it could negatively impact my candidacy for the position.,Maybe,Maybe,Neutral,No,,No,No,Maybe,Yes,1,Rarely,Sometimes,31,Male,United States of America,Virginia,United States of America,Virginia
0,26-100,1,,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,,,,,,,,,1,Some did,"Yes, I was aware of all of them",Some did,Some did,Sometimes,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,"I figure it should be part of the conversation. They need all the facts before making a call, in the same ways I need to know if they can adjust for me.",Maybe,"Depends on the issue at hand. Would it affect my performance or would it require adjustments? Then, yes. If not, then I probably wouldn't.",Maybe,"No, I don't think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,33,Male,United States of America,Florida,United States of America,Florida
0,100-500,1,,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,No,No,,,,,,,,,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,"Because despite all of the laws governing non discrimination, employers will go with what's easiest and come up with a different reason as to why they're not hiring you. Employees are ultimately resources to be leveraged, and companies don't want to get less for their money. ",No,Never. Absolutely never. This would be stigmatized to hell. ,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,29,female,United States of America,New York,United States of America,New York
0,100-500,1,,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,No,,,,,,,,,1,Some did,I was aware of some,I don't know,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,If it were relevant to job performance or required some sort of accommodation on their part,Maybe,"Same as above. Things like ""please send an agenda w/HR meetings, because anxiety"" usually come up after hire, not at interview time, IME",Maybe,"No, I don't think they would",Very open,"Yes, I experienced",No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,35,M,United States of America,California,United States of America,California
0,01岿 05老,1,,No,Yes,No,No,No,Very difficult,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,1,Some did,"Yes, I was aware of all of them",Some did,Some did,Sometimes,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,Jeopardizes getting the job,No,Jeopardizes getting the job,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,42,"Transitioned, M2F",Canada,,Canada,
0,26-100,1,,I don't know,No,No,I don't know,I don't know,I don't know,Yes,Maybe,No,Maybe,I don't know,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,I don't want health issues to affect how I am represented in an interview.,No,I do not want health issues to effect how I am perceived in an interview.,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,Yes,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,26,Female,United States of America,Illinois,United States of America,Illinois
0,500-1000,1,,Yes,No,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Yes,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Risk of not getting an offer,Maybe,Risk of not getting an offer,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,Yes,Maybe,Maybe,Yes,1,Sometimes,Sometimes,36,f,United States of America,Maryland,United States of America,Maryland
0,26-100,1,,I don't know,I am not sure,I don't know,No,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,0,,,,,,,,,,,,Maybe,may not get hired,No,may not get hired,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,21,male,United Kingdom,,United Kingdom,
0,26-100,1,,Yes,I am not sure,No,No,No,Somewhat easy,Maybe,No,No,Yes,Yes,No,,,,,,,,,1,Some did,N/A (not currently aware),None did,Some did,No,Some of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",Some did,None of them,Yes,I'm deaf. It'll be obvious soon enough. ,No,I'm already deaf. I have a lot working against me in the interview process already.  ,"Yes, I think it would","Yes, I think they would",Very open,No,,I don't know,Yes,Yes,Yes,1,Rarely,Often,34,F,United States of America,Washington,United States of America,Washington
1,,,,,,,,,,,,,,,,1,"Yes, I know several","No, because it doesn't matter",N/A,"No, because it doesn't matter",Not applicable to me,Not applicable to me,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,Some of them,No,Because it's none of their business. ,No,Because it's none of their business. ,"Yes, I think it would","Yes, I think they would",Very open,No,,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,40,M,Germany,,Germany,
0,26-100,1,,Yes,No,No,No,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,No,Yes,,,,,,,,,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,"Depends greatly on the job involved.  I can adapt quickly to jobs involving heavy lifting, for example, but would not admit that it would probably wind me to start with.  Most physical health issues severe enough to discuss are visible, and if they are not (say I have cancer and am going to be going on chemo) I would not discuss because of huge possibility of not being hired due to potential for medical leave / lots of absence.  ",No,"Mental health issues are hugely stigmatized.  I made the mistake of letting my last employer find out that I had ADHD and an adderall prescription not really thinking about it.  The head of engineering would joke about me ""doing meth"" after that at horrible moments including me (I have no degree) interviewing a PhD candidate who had done groundbreaking work in SMP and threaded rendering at SGI in the 90s and was all around awesome.  Luckily he made a joke about not talking about the shrooms he did to lighten that one, but there were many worse situations.  I was considered one of the most valued employees because of my ability to get anything done with the LLVM compiler system.  One day I pointed out to the manager in question that he was on a higher dosage of the same medication I was on, and the stupid meth jokes got worse from there.  It's not really a light accusation to make on somebody given our country's state of drug law, something which I am something of an activist for reform of.  It was was degrading. I was also made fun of for being autistic despite that not being a disorder I have.","Yes, it has","No, I don't think they would",Somewhat open,"Yes, I experienced",N/A,No,Yes,Yes,Yes,1,Rarely,Often,35,Male,United States of America,Indiana,United States of America,Indiana
0,06岿 25老,1,,Yes,Yes,No,I don't know,No,Somewhat easy,No,No,Yes,Yes,Yes,No,,,,,,,,,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,"Any health issue is potentially a liability, so I would hesitate to mention it unless it had direct bearing on the job responsibilities.",No,"As above, but with added stigma that mental health issues are seen as not serious (and therefore bringing it up is itself would be considered a problem), or as incurable and therefore at least as big a liability as a physical problem.","Yes, I think it would",Maybe,Very open,Maybe/Not sure,N/A,No,No,No,No,1,Never,Often,44,Male,United States of America,Oregon,United States of America,Oregon
0,06岿 25老,1,,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No,Yes,Yes,Yes,No,,,,,,,,,1,Some did,I was aware of some,None did,None did,Sometimes,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,Some of them,Maybe,I'm already very private about personal issues,Maybe,,"No, I don't think it would",Maybe,Very open,"Yes, I experienced",No,Yes,Yes,No,Yes,0,Sometimes,Sometimes,35,Genderfluid (born female),Canada,,Canada,
0,More than 1000,1,,No,N/A,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,Yes,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",No,,No,,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,45,m,United States of America,Michigan,United States of America,Michigan
0,More than 1000,0,1,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,,,,,,,,,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,,Yes,,"No, I don't think it would","No, I don't think they would",Very open,No,,No,Yes,Yes,Yes,1,Never,Sometimes,42,m,United States of America,Illinois,United States of America,Illinois
1,,,,,,,,,,,,,,,,1,I know some,"Sometimes, if it comes up",No,"Sometimes, if it comes up",Yes,Yes,1-25%,1,Some did,I was aware of some,None did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,It depends on the reputation of the employer,Maybe,It depends on the reputation of the employer,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",Maybe,I don't know,Yes,Yes,Yes,0,Rarely,Sometimes,40,Male,United States of America,Colorado,United States of America,Colorado
1,,,,,,,,,,,,,,,,0,"Yes, I know several","No, because it would impact me negatively",N/A,"No, because it would impact me negatively",Not applicable to me,Yes,1-25%,0,,,,,,,,,,,,No,Not anyone's business but mine,No,Would not get hired,"Yes, I think it would","Yes, I think they would",Somewhat open,N/A,,No,Yes,No,Yes,1,Sometimes,Often,50,F,United States of America,Michigan,United States of America,Michigan
0,100-500,1,,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,,,,,,,,,1,I don't know,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,I would bring it up if it was obvious or relevant.,Maybe,I would be reluctant to bring up a mental health issue for fear that it could reduce my chances of getting the job.,Maybe,Maybe,Somewhat open,No,,Yes,Maybe,Maybe,No,1,Not applicable to me,Sometimes,36,Male,United States of America,Illinois,United States of America,New York
1,,,,,,,,,,,,,,,,1,"Yes, I know several","Sometimes, if it comes up",I'm not sure,Not applicable to me,Not applicable to me,Yes,26-50%,1,"Yes, they all did",I was aware of some,None did,None did,"Yes, always",Some of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,"If I needed accommodations as part of my work, or if it were very obvious and referring to it might diffuse tension, I would bring it up. Otherwise, I would not.",No,"There is absolutely no way it could help, and a lot lot lot of ways it could hurt. And even though I should be protected by non-discrimination laws, if someone did use it in their decision-making, I'd have virtually no recourse.",Maybe,Maybe,Very open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,31,female,United States of America,Minnesota,United States of America,Minnesota
0,26-100,1,,I don't know,No,Yes,No,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,,,,,,,,,1,"Yes, they all did",I was aware of some,"Yes, they all did",Some did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,,Maybe,,"Yes, I think it would","No, I don't think they would",Somewhat open,No,,I don't know,Maybe,No,No,0,Not applicable to me,Not applicable to me,29,Male,United States of America,Oregon,United States of America,Oregon
0,100-500,1,,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No,,,,,,,,,0,,,,,,,,,,,,Yes,,Maybe,,"Yes, I think it would","No, I don't think they would",Not open at all,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,37,Male,United States of America,California,United States of America,California
0,26-100,1,,No,I am not sure,No,I don't know,Yes,Very difficult,Yes,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,,No,,"Yes, it has","No, I don't think they would",Neutral,Maybe/Not sure,N/A,I don't know,Yes,Yes,Yes,1,Sometimes,Often,31,m,United States of America,California,United States of America,California
0,More than 1000,0,1,I don't know,No,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,None did,None of them,No,Not their business,No,Not their business,"Yes, I think it would","Yes, I think they would",Somewhat not open,N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,42,Male,Canada,,Canada,
0,500-1000,1,,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,Maybe,No,No,No,No,,,,,,,,,1,Some did,"No, I only became aware later",Some did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,Risk of losing consideration for a position ,No,Could contribute to employment decision (legal or not) ,"Yes, I think it would",Maybe,Neutral,No,,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,25,Male,United States of America,Indiana,United States of America,Indiana
0,06岿 25老,1,,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Yes,My physical health issues are obvious from my appearance.,No,It would be judged as a risk.,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,27,Male,United States of America,California,United States of America,California
0,More than 1000,0,1,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,Yes,No,,,,,,,,,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,They might think I'm a hypochondriac,No,They might think I'm a complainer,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,Maybe,No,Yes,Yes,Yes,1,Sometimes,Often,41,Female,United States of America,Ohio,United States of America,Ohio
0,100-500,1,,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,No,I don't know,No,,,,,,,,,0,,,,,,,,,,,,Yes,,No,None of their business as long as I feel I can perform my work ,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,N/A,No,Yes,Yes,No,0,Rarely,Often,41,Female,United States of America,California,United States of America,California
0,More than 1000,0,0,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,Maybe,No,No,Yes,No,,,,,,,,,0,,,,,,,,,,,,Maybe,They may not hire me thinking I might take time off from work. ,No,Supervisors don't like to deal with those sort of issues.,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,,I don't know,No,No,No,1,Not applicable to me,Not applicable to me,55,F,United States of America,California,United States of America,California
0,More than 1000,1,,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Maybe,Maybe,No,No,,,,,,,,,1,"No, none did",I was aware of some,I don't know,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Generally not applicable to my job,Maybe,"Potentially frowned upon
","Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,No,Yes,Yes,No,0,Not applicable to me,Not applicable to me,21,Male,United States of America,California,United States of America,California
0,More than 1000,0,1,I don't know,I am not sure,Yes,No,I don't know,Very easy,Maybe,Maybe,No,Maybe,Yes,No,,,,,,,,,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,,Maybe,,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,37,male,Netherlands,,Netherlands,
0,More than 1000,0,1,I don't know,No,No,I don't know,Yes,Very easy,Maybe,Maybe,Maybe,Yes,I don't know,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Only if it would affect my future work.,Maybe,Only if it is relevant for the work.,Maybe,Maybe,Not applicable to me (I do not have a mental illness),N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,34,female,Netherlands,,Netherlands,
0,More than 1000,0,1,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,No,No,No,I don't know,No,,,,,,,,,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,Maybe,,No,,Maybe,Maybe,Somewhat not open,No,,I don't know,No,Maybe,No,0,Not applicable to me,Sometimes,40,Male,United Kingdom,,United Kingdom,
1,,,,,,,,,,,,,,,,1,I know some,Not applicable to me,No,Not applicable to me,No,Yes,1-25%,0,,,,,,,,,,,,Yes,"If it impacts the work, they should know about it.",Yes,"If it impacts the work, they should know about it.",Maybe,"No, I don't think they would",Somewhat open,No,,I don't know,Maybe,Maybe,No,0,Sometimes,Often,25,male,Netherlands,,Netherlands,
0,More than 1000,0,1,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,No,Maybe,I don't know,No,,,,,,,,,1,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,,No,,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,No,Maybe,No,0,Not applicable to me,Sometimes,36,male,Germany,,Germany,
0,26-100,1,,No,I am not sure,No,No,No,Somewhat easy,Maybe,Maybe,Yes,Maybe,No,No,,,,,,,,,1,Some did,I was aware of some,None did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,"I don't know, I've never had a physical health issue that would need bringing up, so I don't know how I'd react in that situation",No,"I'm not sure if it'd harm my chances, but I wouldn't want to give anyone more reason to not hire me","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,No,No,Maybe,No,0,Sometimes,Sometimes,25,Male,Germany,,Germany,
0,100-500,1,,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,I don't know,No,,,,,,,,,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,Some of my previous employers,"Yes, at all of my previous employers",I don't know,None of them,Maybe,If it was a long term issue that would require special accommodations on their part.,Maybe,Would be concerned at the negative stigma,Maybe,Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,35,male,United States of America,Florida,United States of America,Florida
0,06岿 25老,1,,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,1,Some did,I was aware of some,None did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,"Could impact their willingness to hire, even subconsciously.",No,Stigma.,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,I don't know,Maybe,No,No,1,Not applicable to me,Not applicable to me,37,male,United States of America,North Carolina,United States of America,North Carolina
0,More than 1000,0,1,Yes,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,No,Maybe,No,No,,,,,,,,,1,Some did,"No, I only became aware later",None did,Some did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,No,Would risk not getting the job.,No,,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,45,Male,United States of America,Ohio,United States of America,Ohio
0,06岿 25老,1,,No,N/A,No,No,No,Neither easy nor difficult,Maybe,Maybe,Yes,Yes,No,No,,,,,,,,,1,"No, none did",I was aware of some,None did,None did,Sometimes,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,,No,,"Yes, it has",Maybe,Not open at all,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,26,Male,United States of America,Oregon,United States of America,Oregon
0,26-100,1,,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,Maybe,Maybe,Maybe,No,I don't know,No,,,,,,,,,0,,,,,,,,,,,,Maybe,I wouldn't want it to affect my ability to get the position,No,I feel it would negatively effect my ability to get the position,"Yes, I think it would",Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,23,Male,United States of America,Illinois,United States of America,Illinois
0,26-100,1,,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,No,No,No,No,,,,,,,,,1,Some did,"No, I only became aware later",None did,None did,Sometimes,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Maybe,,Maybe,,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Sometimes,Often,22,Female,United States of America,Oregon,United States of America,Oregon
0,26-100,1,,I don't know,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,,,,,,,,,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,I would be afraid it would negatively impact my chances.,No,I would be afraid it would negatively impact my chances.,Maybe,"Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Rarely,Often,46,Female,United States of America,Illinois,United States of America,Illinois
